trial_id,scenario,scenario_seed,num_uav,method,assignment,total_path_length,avg_path_length,xy_crossings,proximity_crossings,min_distance,safety_cost,safety_violation_count,critical_violation_count,arrival_time_variance,failed_assignment,critical_failed_assignment,total_cost,compute_time_ms
61,large,877701370,8,random,"[7,5,4,2,1,0,6,3]",71.688164,8.961021,11,9,0.097042,19.401913,222,108,9.861038,1,1,291.090077,0.004749
61,large,877701370,8,nearest_neighbor,"[6,2,7,4,1,5,3,0]",22.575432,2.821929,0,0,2.159931,0.000000,0,0,0.995854,0,0,22.575432,0.066815
61,large,877701370,8,hungarian_distance,"[6,2,7,4,1,5,3,0]",22.575432,2.821929,0,0,2.159931,0.000000,0,0,0.995854,0,0,22.575432,0.014377
61,large,877701370,8,hungarian_crossing_penalty,"[6,2,7,4,1,5,3,0]",22.575432,2.821929,0,0,2.159931,0.000000,0,0,0.995854,0,0,22.575432,27.432488
61,large,877701370,8,safety_aware_local_swap,"[6,2,7,4,1,5,3,0]",22.575432,2.821929,0,0,2.159931,0.000000,0,0,0.995854,0,0,22.575432,27.327340
62,large,931723848,8,random,"[5,2,6,3,7,4,1,0]",60.207316,7.525914,5,5,0.144131,19.772535,155,110,6.496713,1,1,179.979850,0.004849
62,large,931723848,8,nearest_neighbor,"[7,1,5,2,0,3,4,6]",39.210213,4.901277,2,2,0.945521,1.609219,68,32,7.246296,1,1,80.819432,0.066595
62,large,931723848,8,hungarian_distance,"[7,1,5,6,0,2,3,4]",30.815169,3.851896,0,0,2.184682,0.000000,0,0,2.646633,0,0,30.815169,0.014287
62,large,931723848,8,hungarian_crossing_penalty,"[7,1,5,6,0,2,3,4]",30.815169,3.851896,0,0,2.184682,0.000000,0,0,2.646633,0,0,30.815169,27.796803
62,large,931723848,8,safety_aware_local_swap,"[7,1,5,6,0,2,3,4]",30.815169,3.851896,0,0,2.184682,0.000000,0,0,2.646633,0,0,30.815169,27.739635
63,large,712629957,8,random,"[6,7,3,2,0,5,1,4]",56.008412,7.001051,6,4,0.812251,3.379526,60,31,11.942696,1,1,159.387938,0.009768
63,large,712629957,8,nearest_neighbor,"[2,7,4,1,0,3,5,6]",25.676962,3.209620,0,0,3.341104,0.000000,0,0,2.226489,0,0,25.676962,0.067557
63,large,712629957,8,hungarian_distance,"[2,6,4,1,7,3,5,0]",24.664848,3.083106,0,0,3.585604,0.000000,0,0,1.656901,0,0,24.664848,0.014828
63,large,712629957,8,hungarian_crossing_penalty,"[2,6,4,1,7,3,5,0]",24.664848,3.083106,0,0,3.585604,0.000000,0,0,1.656901,0,0,24.664848,27.427148
63,large,712629957,8,safety_aware_local_swap,"[2,6,4,1,7,3,5,0]",24.664848,3.083106,0,0,3.585604,0.000000,0,0,1.656901,0,0,24.664848,27.543026
64,large,1408944422,8,random,"[0,1,4,7,6,3,2,5]",38.405729,4.800716,1,2,0.100009,11.436229,69,50,5.939925,1,1,79.841958,0.005691
64,large,1408944422,8,nearest_neighbor,"[7,6,4,0,5,1,2,3]",22.454620,2.806828,0,2,1.505499,1.322276,70,0,5.440931,1,0,43.776896,0.066875
64,large,1408944422,8,hungarian_distance,"[7,6,4,0,5,2,1,3]",20.435015,2.554377,0,1,1.517638,0.658485,35,0,4.512385,1,0,31.093500,0.014136
64,large,1408944422,8,hungarian_crossing_penalty,"[7,6,4,0,5,2,1,3]",20.435015,2.554377,0,1,1.517638,0.658485,35,0,4.512385,1,0,31.093500,27.320367
64,large,1408944422,8,safety_aware_local_swap,"[7,6,3,0,5,2,1,4]",20.687970,2.585996,0,0,2.048123,0.000000,0,0,2.309001,0,0,20.687970,53.710517
65,large,914181470,8,random,"[5,6,3,1,7,2,4,0]",51.529001,6.441125,4,4,0.535664,4.080101,88,42,7.976905,1,1,135.609102,0.004959
65,large,914181470,8,nearest_neighbor,"[6,3,0,1,2,4,5,7]",31.465518,3.933190,1,3,0.336027,4.325718,117,57,8.352535,1,1,75.791236,0.065804
